U+2A7F7 	𪟷
U+2A7F8 	𪟸
U+2A7F9 	𪟹
U+2A7FA 	𪟺
U+2A7FB 	𪟻
U+2A7FC 	𪟼
U+2A7FD 	𪟽
U+2A7FE 	𪟾
U+2A7FF 	𪟿
U+2A800 	𪠀
U+2A801 	𪠁
U+2A802 	𪠂
U+2A803 	𪠃
U+2A804 	𪠄
U+2A805 	𪠅
U+2A806 	𪠆
U+2A807 	𪠇
U+2A808 	𪠈
U+2A809 	𪠉
U+2A80A 	𪠊
U+2A80B 	𪠋
U+2A80C 	𪠌
U+2A80D 	𪠍
U+2A80E 	𪠎
U+2A80F 	𪠏
U+2A810 	𪠐
U+2A811 	𪠑
U+2A812 	𪠒
U+2A813 	𪠓
U+2A814 	𪠔
U+2A815 	𪠕
U+2A816 	𪠖
U+2A817 	𪠗
U+2A818 	𪠘
U+2A819 	𪠙
U+2A81A 	𪠚
U+2A81B 	𪠛
U+2A81C 	𪠜
U+2A81D 	𪠝
U+2A81E 	𪠞
U+2A81F 	𪠟
U+2A820 	𪠠
U+2A821 	𪠡
U+2A822 	𪠢
U+2A823 	𪠣
U+2A824 	𪠤
U+2A825 	𪠥
U+2A826 	𪠦
U+2A827 	𪠧
U+2A828 	𪠨
U+2A829 	𪠩
U+2A82A 	𪠪
U+2A82B 	𪠫
U+2A82C 	𪠬
U+2A82D 	𪠭
U+2A82E 	𪠮
U+2A82F 	𪠯
U+2A830 	𪠰
U+2A831 	𪠱
U+2A832 	𪠲
U+2A833 	𪠳
U+2A834 	𪠴
U+2A835 	𪠵
U+2A836 	𪠶
U+2A837 	𪠷
U+2A838 	𪠸
U+2A839 	𪠹
U+2A83A 	𪠺
U+2A83B 	𪠻
U+2A83C 	𪠼
U+2A83D 	𪠽
U+2A83E 	𪠾
U+2A83F 	𪠿
U+2A840 	𪡀
U+2A841 	𪡁
U+2A842 	𪡂
U+2A843 	𪡃
U+2A844 	𪡄
U+2A845 	𪡅
U+2A846 	𪡆
U+2A847 	𪡇
U+2A848 	𪡈
U+2A849 	𪡉
U+2A84A 	𪡊
U+2A84B 	𪡋
U+2A84C 	𪡌
U+2A84D 	𪡍
U+2A84E 	𪡎
U+2A84F 	𪡏
U+2A850 	𪡐
U+2A851 	𪡑
U+2A852 	𪡒
U+2A853 	𪡓
U+2A854 	𪡔
U+2A855 	𪡕
U+2A856 	𪡖
U+2A857 	𪡗
U+2A858 	𪡘
U+2A859 	𪡙
U+2A85A 	𪡚
U+2A85B 	𪡛
U+2A85C 	𪡜
U+2A85D 	𪡝
U+2A85E 	𪡞
U+2A85F 	𪡟
U+2A860 	𪡠
U+2A861 	𪡡
U+2A862 	𪡢
U+2A863 	𪡣
U+2A864 	𪡤
U+2A865 	𪡥
U+2A866 	𪡦
U+2A867 	𪡧
U+2A868 	𪡨
U+2A869 	𪡩
U+2A86A 	𪡪
U+2A86B 	𪡫
U+2A86C 	𪡬
U+2A86D 	𪡭
U+2A86E 	𪡮
U+2A86F 	𪡯
U+2A870 	𪡰
U+2A871 	𪡱
U+2A872 	𪡲
U+2A873 	𪡳
U+2A874 	𪡴
U+2A875 	𪡵
U+2A876 	𪡶
U+2A877 	𪡷
U+2A878 	𪡸
U+2A879 	𪡹
U+2A87A 	𪡺
U+2A87B 	𪡻
U+2A87C 	𪡼
U+2A87D 	𪡽
U+2A87E 	𪡾
U+2A87F 	𪡿
