U+324DC	𲓜
U+324DD	𲓝
U+324DE	𲓞
U+324DF	𲓟
U+324E0	𲓠
U+324E1	𲓡
U+324E2	𲓢
U+324E3	𲓣
U+324E4	𲓤
U+324E5	𲓥
U+324E6	𲓦
U+324E7	𲓧
U+324E8	𲓨
U+324E9	𲓩
U+324EA	𲓪
U+324EB	𲓫
U+324EC	𲓬
U+324ED	𲓭
U+324EE	𲓮
U+324EF	𲓯
U+324F0	𲓰
U+324F1	𲓱
U+324F2	𲓲
U+324F3	𲓳
U+324F4	𲓴
U+324F5	𲓵
U+324F6	𲓶
U+324F7	𲓷
U+324F8	𲓸
U+324F9	𲓹
U+324FA	𲓺
U+324FB	𲓻
U+324FC	𲓼
U+324FD	𲓽
U+324FE	𲓾
U+324FF	𲓿
U+32500	𲔀
U+32501	𲔁
U+32502	𲔂
U+32503	𲔃
U+32504	𲔄
U+32505	𲔅
U+32506	𲔆
U+32507	𲔇
U+32508	𲔈
U+32509	𲔉
U+3250A	𲔊
U+3250B	𲔋
U+3250C	𲔌
U+3250D	𲔍
U+3250E	𲔎
U+3250F	𲔏
U+32510	𲔐
U+32511	𲔑
U+32512	𲔒
U+32513	𲔓
U+32514	𲔔
U+32515	𲔕
U+32516	𲔖
U+32517	𲔗
U+32518	𲔘
U+32519	𲔙
U+3251A	𲔚
U+3251B	𲔛
U+3251C	𲔜
U+3251D	𲔝
U+3251E	𲔞
U+3251F	𲔟
U+32520	𲔠
U+32521	𲔡
U+32522	𲔢
U+32523	𲔣
U+32524	𲔤
U+32525	𲔥
U+32526	𲔦
U+32527	𲔧
U+32528	𲔨
U+32529	𲔩
U+3252A	𲔪
U+3252B	𲔫
U+3252C	𲔬
U+3252D	𲔭
U+3252E	𲔮
U+3252F	𲔯
U+32530	𲔰
U+32531	𲔱
U+32532	𲔲
U+32533	𲔳
U+32534	𲔴
U+32535	𲔵
U+32536	𲔶
U+32537	𲔷
U+32538	𲔸
U+32539	𲔹
U+3253A	𲔺
U+3253B	𲔻
U+3253C	𲔼
U+3253D	𲔽
U+3253E	𲔾
U+3253F	𲔿
U+32540	𲕀
U+32541	𲕁
U+32542	𲕂
U+32543	𲕃
U+32544	𲕄
U+32545	𲕅
U+32546	𲕆
U+32547	𲕇
U+32548	𲕈
U+32549	𲕉
U+3254A	𲕊
U+3254B	𲕋
U+3254C	𲕌
U+3254D	𲕍
U+3254E	𲕎
U+3254F	𲕏
U+32550	𲕐
U+32551	𲕑
U+32552	𲕒
U+32553	𲕓
