U+2ECED	𮳭
U+2ECEE	𮳮
U+2ECEF	𮳯
U+2ECF0	𮳰
U+2ECF1	𮳱
U+2ECF2	𮳲
U+2ECF3	𮳳
U+2ECF4	𮳴
U+2ECF5	𮳵
U+2ECF6	𮳶
U+2ECF7	𮳷
U+2ECF8	𮳸
U+2ECF9	𮳹
U+2ECFA	𮳺
U+2ECFB	𮳻
U+2ECFC	𮳼
U+2ECFD	𮳽
U+2ECFE	𮳾
U+2ECFF	𮳿
U+2ED00	𮴀
U+2ED01	𮴁
U+2ED02	𮴂
U+2ED03	𮴃
U+2ED04	𮴄
U+2ED05	𮴅
U+2ED06	𮴆
U+2ED07	𮴇
U+2ED08	𮴈
U+2ED09	𮴉
U+2ED0A	𮴊
U+2ED0B	𮴋
U+2ED0C	𮴌
U+2ED0D	𮴍
U+2ED0E	𮴎
U+2ED0F	𮴏
U+2ED10	𮴐
U+2ED11	𮴑
U+2ED12	𮴒
U+2ED13	𮴓
U+2ED14	𮴔
U+2ED15	𮴕
U+2ED16	𮴖
U+2ED17	𮴗
U+2ED18	𮴘
U+2ED19	𮴙
U+2ED1A	𮴚
U+2ED1B	𮴛
U+2ED1C	𮴜
U+2ED1D	𮴝
U+2ED1E	𮴞
U+2ED1F	𮴟
U+2ED20	𮴠
U+2ED21	𮴡
U+2ED22	𮴢
U+2ED23	𮴣
U+2ED24	𮴤
U+2ED25	𮴥
U+2ED26	𮴦
U+2ED27	𮴧
U+2ED28	𮴨
U+2ED29	𮴩
U+2ED2A	𮴪
U+2ED2B	𮴫
U+2ED2C	𮴬
U+2ED2D	𮴭
U+2ED2E	𮴮
U+2ED2F	𮴯
U+2ED30	𮴰
U+2ED31	𮴱
U+2ED32	𮴲
U+2ED33	𮴳
U+2ED34	𮴴
U+2ED35	𮴵
U+2ED36	𮴶
U+2ED37	𮴷
U+2ED38	𮴸
U+2ED39	𮴹
U+2ED3A	𮴺
U+2ED3B	𮴻
U+2ED3C	𮴼
U+2ED3D	𮴽
U+2ED3E	𮴾
U+2ED3F	𮴿
U+2ED40	𮵀
U+2ED41	𮵁
U+2ED42	𮵂
U+2ED43	𮵃
U+2ED44	𮵄
U+2ED45	𮵅
U+2ED46	𮵆
U+2ED47	𮵇
U+2ED48	𮵈
U+2ED49	𮵉
U+2ED4A	𮵊
U+2ED4B	𮵋
U+2ED4C	𮵌
U+2ED4D	𮵍
U+2ED4E	𮵎
U+2ED4F	𮵏
U+2ED50	𮵐
U+2ED51	𮵑
U+2ED52	𮵒
U+2ED53	𮵓
U+2ED54	𮵔
U+2ED55	𮵕
U+2ED56	𮵖
U+2ED57	𮵗
U+2ED58	𮵘
U+2ED59	𮵙
U+2ED5A	𮵚
U+2ED5B	𮵛
U+2ED5C	𮵜
U+2ED5D	𮵝
U+2ED5E	𮵞
U+2ED5F	𮵟
U+2ED60	𮵠
U+2ED61	𮵡
U+2ED62	𮵢
U+2ED63	𮵣
U+2ED64	𮵤
U+2ED65	𮵥
U+2ED66	𮵦
U+2ED67	𮵧
U+2ED68	𮵨
U+2ED69	𮵩
U+2ED6A	𮵪
U+2ED6B	𮵫
U+2ED6C	𮵬
U+2ED6D	𮵭
U+2ED6E	𮵮
U+2ED6F	𮵯
U+2ED70	𮵰
U+2ED71	𮵱
U+2ED72	𮵲
U+2ED73	𮵳
U+2ED74	𮵴
U+2ED75	𮵵
U+2ED76	𮵶
U+2ED77	𮵷
U+2ED78	𮵸
U+2ED79	𮵹
U+2ED7A	𮵺
U+2ED7B	𮵻
