U+2B916 	𫤖
U+2B917 	𫤗
U+2B918 	𫤘
U+2B919 	𫤙
U+2B91A 	𫤚
U+2B91B 	𫤛
U+2B91C 	𫤜
U+2B91D 	𫤝
U+2B91E 	𫤞
U+2B91F 	𫤟
U+2B920 	𫤠
U+2B921 	𫤡
U+2B922 	𫤢
U+2B923 	𫤣
U+2B924 	𫤤
U+2B925 	𫤥
U+2B926 	𫤦
U+2B927 	𫤧
U+2B928 	𫤨
U+2B929 	𫤩
U+2B92A 	𫤪
U+2B92B 	𫤫
U+2B92C 	𫤬
U+2B92D 	𫤭
U+2B92E 	𫤮
U+2B92F 	𫤯
U+2B930 	𫤰
U+2B931 	𫤱
U+2B932 	𫤲
U+2B933 	𫤳
U+2B934 	𫤴
U+2B935 	𫤵
U+2B936 	𫤶
U+2B937 	𫤷
U+2B938 	𫤸
U+2B939 	𫤹
U+2B93A 	𫤺
U+2B93B 	𫤻
U+2B93C 	𫤼
U+2B93D 	𫤽
U+2B93E 	𫤾
U+2B93F 	𫤿
U+2B940 	𫥀
U+2B941 	𫥁
U+2B942 	𫥂
U+2B943 	𫥃
U+2B944 	𫥄
U+2B945 	𫥅
U+2B946 	𫥆
U+2B947 	𫥇
U+2B948 	𫥈
U+2B949 	𫥉
U+2B94A 	𫥊
U+2B94B 	𫥋
U+2B94C 	𫥌
U+2B94D 	𫥍
U+2B94E 	𫥎
U+2B94F 	𫥏
U+2B950 	𫥐
U+2B951 	𫥑
U+2B952 	𫥒
U+2B953 	𫥓
U+2B954 	𫥔
U+2B955 	𫥕
U+2B956 	𫥖
U+2B957 	𫥗
U+2B958 	𫥘
U+2B959 	𫥙
U+2B95A 	𫥚
U+2B95B 	𫥛
U+2B95C 	𫥜
U+2B95D 	𫥝
U+2B95E 	𫥞
U+2B95F 	𫥟
U+2B960 	𫥠
U+2B961 	𫥡
U+2B962 	𫥢
U+2B963 	𫥣
U+2B964 	𫥤
U+2B965 	𫥥
U+2B966 	𫥦
U+2B967 	𫥧
U+2B968 	𫥨
U+2B969 	𫥩
U+2B96A 	𫥪
U+2B96B 	𫥫
U+2B96C 	𫥬
U+2B96D 	𫥭
U+2B96E 	𫥮
U+2B96F 	𫥯
U+2B970 	𫥰
U+2B971 	𫥱
U+2B972 	𫥲
U+2B973 	𫥳
U+2B974 	𫥴
U+2B975 	𫥵
U+2B976 	𫥶
U+2B977 	𫥷
U+2B978 	𫥸
U+2B979 	𫥹
U+2B97A 	𫥺
U+2B97B 	𫥻
U+2B97C 	𫥼
U+2B97D 	𫥽
U+2B97E 	𫥾
U+2B97F 	𫥿
U+2B980 	𫦀
U+2B981 	𫦁
U+2B982 	𫦂
U+2B983 	𫦃
U+2B984 	𫦄
U+2B985 	𫦅
U+2B986 	𫦆
U+2B987 	𫦇
U+2B988 	𫦈
U+2B989 	𫦉
U+2B98A 	𫦊
U+2B98B 	𫦋
U+2B98C 	𫦌
U+2B98D 	𫦍
U+2B98E 	𫦎
U+2B98F 	𫦏
U+2B990 	𫦐
U+2B991 	𫦑
U+2B992 	𫦒
U+2B993 	𫦓
U+2B994 	𫦔
U+2B995 	𫦕
U+2B996 	𫦖
U+2B997 	𫦗
U+2B998 	𫦘
U+2B999 	𫦙
U+2B99A 	𫦚
U+2B99B 	𫦛
U+2B99C 	𫦜
U+2B99D 	𫦝
U+2B99E 	𫦞
U+2B99F 	𫦟
U+2B9A0 	𫦠
U+2B9A1 	𫦡
U+2B9A2 	𫦢
U+2B9A3 	𫦣
U+2B9A4 	𫦤
U+2B9A5 	𫦥
U+2B9A6 	𫦦
U+2B9A7 	𫦧
U+2B9A8 	𫦨
U+2B9A9 	𫦩
U+2B9AA 	𫦪
U+2B9AB 	𫦫
U+2B9AC 	𫦬
U+2B9AD 	𫦭
U+2B9AE 	𫦮
U+2B9AF 	𫦯
U+2B9B0 	𫦰
U+2B9B1 	𫦱
U+2B9B2 	𫦲
U+2B9B3 	𫦳
U+2B9B4 	𫦴
U+2B9B5 	𫦵
U+2B9B6 	𫦶
U+2B9B7 	𫦷
U+2B9B8 	𫦸
U+2B9B9 	𫦹
U+2B9BA 	𫦺
U+2B9BB 	𫦻
U+2B9BC 	𫦼
U+2B9BD 	𫦽
U+2B9BE 	𫦾
U+2B9BF 	𫦿
U+2B9C0 	𫧀
U+2B9C1 	𫧁
U+2B9C2 	𫧂
U+2B9C3 	𫧃
U+2B9C4 	𫧄
U+2B9C5 	𫧅
U+2B9C6 	𫧆
U+2B9C7 	𫧇
U+2B9C8 	𫧈
U+2B9C9 	𫧉
U+2B9CA 	𫧊
U+2B9CB 	𫧋
U+2B9CC 	𫧌
U+2B9CD 	𫧍
U+2B9CE 	𫧎
U+2B9CF 	𫧏
U+2B9D0 	𫧐
U+2B9D1 	𫧑
U+2B9D2 	𫧒
U+2B9D3 	𫧓
U+2B9D4 	𫧔
U+2B9D5 	𫧕
U+2B9D6 	𫧖
U+2B9D7 	𫧗
U+2B9D8 	𫧘
U+2B9D9 	𫧙
U+2B9DA 	𫧚
U+2B9DB 	𫧛
U+2B9DC 	𫧜
U+2B9DD 	𫧝
U+2B9DE 	𫧞
U+2B9DF 	𫧟
U+2B9E0 	𫧠
U+2B9E1 	𫧡
U+2B9E2 	𫧢
U+2B9E3 	𫧣
U+2B9E4 	𫧤
U+2B9E5 	𫧥
U+2B9E6 	𫧦
U+2B9E7 	𫧧
U+2B9E8 	𫧨
U+2B9E9 	𫧩
U+2B9EA 	𫧪
U+2B9EB 	𫧫
U+2B9EC 	𫧬
U+2B9ED 	𫧭
U+2B9EE 	𫧮
U+2B9EF 	𫧯
U+2B9F0 	𫧰
U+2B9F1 	𫧱
U+2B9F2 	𫧲
U+2B9F3 	𫧳
U+2B9F4 	𫧴
U+2B9F5 	𫧵
U+2B9F6 	𫧶
U+2B9F7 	𫧷
U+2B9F8 	𫧸
U+2B9F9 	𫧹
U+2B9FA 	𫧺
U+2B9FB 	𫧻
U+2B9FC 	𫧼
U+2B9FD 	𫧽
U+2B9FE 	𫧾
U+2B9FF 	𫧿
U+2BA00 	𫨀
U+2BA01 	𫨁
U+2BA02 	𫨂
U+2BA03 	𫨃
U+2BA04 	𫨄
U+2BA05 	𫨅
U+2BA06 	𫨆
U+2BA07 	𫨇
U+2BA08 	𫨈
U+2BA09 	𫨉
U+2BA0A 	𫨊
U+2BA0B 	𫨋
U+2BA0C 	𫨌
U+2BA0D 	𫨍
U+2BA0E 	𫨎
U+2BA0F 	𫨏
U+2BA10 	𫨐
U+2BA11 	𫨑
U+2BA12 	𫨒
U+2BA13 	𫨓
U+2BA14 	𫨔
U+2BA15 	𫨕
U+2BA16 	𫨖
U+2BA17 	𫨗
U+2BA18 	𫨘
U+2BA19 	𫨙
U+2BA1A 	𫨚
U+2BA1B 	𫨛
U+2BA1C 	𫨜
U+2BA1D 	𫨝
U+2BA1E 	𫨞
U+2BA1F 	𫨟
U+2BA20 	𫨠
U+2BA21 	𫨡
U+2BA22 	𫨢
U+2BA23 	𫨣
U+2BA24 	𫨤
U+2BA25 	𫨥
U+2BA26 	𫨦
U+2BA27 	𫨧
U+2BA28 	𫨨
U+2BA29 	𫨩
U+2BA2A 	𫨪
U+2BA2B 	𫨫
U+2BA2C 	𫨬
U+2BA2D 	𫨭
U+2BA2E 	𫨮
U+2BA2F 	𫨯
U+2BA30 	𫨰
U+2BA31 	𫨱
U+2BA32 	𫨲
U+2BA33 	𫨳
U+2BA34 	𫨴
U+2BA35 	𫨵
U+2BA36 	𫨶
U+2BA37 	𫨷
U+2BA38 	𫨸
U+2BA39 	𫨹
U+2BA3A 	𫨺
U+2BA3B 	𫨻
U+2BA3C 	𫨼
U+2BA3D 	𫨽
U+2BA3E 	𫨾
U+2BA3F 	𫨿
U+2BA40 	𫩀
U+2BA41 	𫩁
U+2BA42 	𫩂
U+2BA43 	𫩃
U+2BA44 	𫩄
U+2BA45 	𫩅
U+2BA46 	𫩆
U+2BA47 	𫩇
U+2BA48 	𫩈
U+2BA49 	𫩉
U+2BA4A 	𫩊
U+2BA4B 	𫩋
U+2BA4C 	𫩌
U+2BA4D 	𫩍
U+2BA4E 	𫩎
U+2BA4F 	𫩏
U+2BA50 	𫩐
U+2BA51 	𫩑
U+2BA52 	𫩒
U+2BA53 	𫩓
U+2BA54 	𫩔
U+2BA55 	𫩕
U+2BA56 	𫩖
U+2BA57 	𫩗
U+2BA58 	𫩘
U+2BA59 	𫩙
U+2BA5A 	𫩚
U+2BA5B 	𫩛
U+2BA5C 	𫩜
U+2BA5D 	𫩝
U+2BA5E 	𫩞
U+2BA5F 	𫩟
U+2BA60 	𫩠
U+2BA61 	𫩡
U+2BA62 	𫩢
U+2BA63 	𫩣
U+2BA64 	𫩤
U+2BA65 	𫩥
U+2BA66 	𫩦
U+2BA67 	𫩧
U+2BA68 	𫩨
U+2BA69 	𫩩
U+2BA6A 	𫩪
U+2BA6B 	𫩫
U+2BA6C 	𫩬
U+2BA6D 	𫩭
U+2BA6E 	𫩮
U+2BA6F 	𫩯
U+2BA70 	𫩰
U+2BA71 	𫩱
U+2BA72 	𫩲
U+2BA73 	𫩳
U+2BA74 	𫩴
U+2BA75 	𫩵
U+2BA76 	𫩶
U+2BA77 	𫩷
U+2BA78 	𫩸
U+2BA79 	𫩹
U+2BA7A 	𫩺
U+2BA7B 	𫩻
U+2BA7C 	𫩼
U+2BA7D 	𫩽
U+2BA7E 	𫩾
U+2BA7F 	𫩿
U+2BA80 	𫪀
U+2BA81 	𫪁
U+2BA82 	𫪂
U+2BA83 	𫪃
U+2BA84 	𫪄
U+2BA85 	𫪅
U+2BA86 	𫪆
U+2BA87 	𫪇
U+2BA88 	𫪈
U+2BA89 	𫪉
U+2BA8A 	𫪊
U+2BA8B 	𫪋
U+2BA8C 	𫪌
U+2BA8D 	𫪍
U+2BA8E 	𫪎
U+2BA8F 	𫪏
U+2BA90 	𫪐
U+2BA91 	𫪑
U+2BA92 	𫪒
U+2BA93 	𫪓
U+2BA94 	𫪔
U+2BA95 	𫪕
U+2BA96 	𫪖
U+2BA97 	𫪗
U+2BA98 	𫪘
U+2BA99 	𫪙
U+2BA9A 	𫪚
U+2BA9B 	𫪛
U+2BA9C 	𫪜
U+2BA9D 	𫪝
U+2BA9E 	𫪞
U+2BA9F 	𫪟
U+2BAA0 	𫪠
U+2BAA1 	𫪡
U+2BAA2 	𫪢
U+2BAA3 	𫪣
U+2BAA4 	𫪤
U+2BAA5 	𫪥
U+2BAA6 	𫪦
U+2BAA7 	𫪧
U+2BAA8 	𫪨
U+2BAA9 	𫪩
U+2BAAA 	𫪪
U+2BAAB 	𫪫
U+2BAAC 	𫪬
U+2BAAD 	𫪭
U+2BAAE 	𫪮
U+2BAAF 	𫪯
U+2BAB0 	𫪰
U+2BAB1 	𫪱
U+2BAB2 	𫪲
U+2BAB3 	𫪳
U+2BAB4 	𫪴
U+2BAB5 	𫪵
U+2BAB6 	𫪶
U+2BAB7 	𫪷
U+2BAB8 	𫪸
U+2BAB9 	𫪹
U+2BABA 	𫪺
U+2BABB 	𫪻
U+2BABC 	𫪼
U+2BABD 	𫪽
U+2BABE 	𫪾
U+2BABF 	𫪿
U+2BAC0 	𫫀
U+2BAC1 	𫫁
U+2BAC2 	𫫂
U+2BAC3 	𫫃
U+2BAC4 	𫫄
U+2BAC5 	𫫅
U+2BAC6 	𫫆
U+2BAC7 	𫫇
U+2BAC8 	𫫈
U+2BAC9 	𫫉
U+2BACA 	𫫊
U+2BACB 	𫫋
U+2BACC 	𫫌
U+2BACD 	𫫍
U+2BACE 	𫫎
U+2BACF 	𫫏
U+2BAD0 	𫫐
U+2BAD1 	𫫑
U+2BAD2 	𫫒
U+2BAD3 	𫫓
U+2BAD4 	𫫔
U+2BAD5 	𫫕
U+2BAD6 	𫫖
U+2BAD7 	𫫗
U+2BAD8 	𫫘
U+2BAD9 	𫫙
U+2BADA 	𫫚
U+2BADB 	𫫛
U+2BADC 	𫫜
U+2BADD 	𫫝
U+2BADE 	𫫞
U+2BADF 	𫫟
U+2BAE0 	𫫠
U+2BAE1 	𫫡
U+2BAE2 	𫫢
U+2BAE3 	𫫣
U+2BAE4 	𫫤
U+2BAE5 	𫫥
U+2BAE6 	𫫦
U+2BAE7 	𫫧
U+2BAE8 	𫫨
U+2BAE9 	𫫩
U+2BAEA 	𫫪
U+2BAEB 	𫫫
U+2BAEC 	𫫬
U+2BAED 	𫫭
U+2BAEE 	𫫮
U+2BAEF 	𫫯
U+2BAF0 	𫫰
U+2BAF1 	𫫱
U+2BAF2 	𫫲
U+2BAF3 	𫫳
U+2BAF4 	𫫴
U+2BAF5 	𫫵
U+2BAF6 	𫫶
U+2BAF7 	𫫷
U+2BAF8 	𫫸
U+2BAF9 	𫫹
U+2BAFA 	𫫺
U+2BAFB 	𫫻
U+2BAFC 	𫫼
U+2BAFD 	𫫽
U+2BAFE 	𫫾
U+2BAFF 	𫫿
U+2BB00 	𫬀
U+2BB01 	𫬁
U+2BB02 	𫬂
U+2BB03 	𫬃
U+2BB04 	𫬄
