U+2CF9C 	𬾜
U+2CF9D 	𬾝
U+2CF9E 	𬾞
U+2CF9F 	𬾟
U+2CFA0 	𬾠
U+2CFA1 	𬾡
U+2CFA2 	𬾢
U+2CFA3 	𬾣
U+2CFA4 	𬾤
U+2CFA5 	𬾥
U+2CFA6 	𬾦
U+2CFA7 	𬾧
U+2CFA8 	𬾨
U+2CFA9 	𬾩
U+2CFAA 	𬾪
U+2CFAB 	𬾫
U+2CFAC 	𬾬
U+2CFAD 	𬾭
U+2CFAE 	𬾮
U+2CFAF 	𬾯
U+2CFB0 	𬾰
U+2CFB1 	𬾱
U+2CFB2 	𬾲
U+2CFB3 	𬾳
U+2CFB4 	𬾴
U+2CFB5 	𬾵
U+2CFB6 	𬾶
U+2CFB7 	𬾷
U+2CFB8 	𬾸
U+2CFB9 	𬾹
U+2CFBA 	𬾺
U+2CFBB 	𬾻
U+2CFBC 	𬾼
U+2CFBD 	𬾽
U+2CFBE 	𬾾
U+2CFBF 	𬾿
U+2CFC0 	𬿀
U+2CFC1 	𬿁
U+2CFC2 	𬿂
U+2CFC3 	𬿃
U+2CFC4 	𬿄
U+2CFC5 	𬿅
U+2CFC6 	𬿆
U+2CFC7 	𬿇
U+2CFC8 	𬿈
U+2CFC9 	𬿉
U+2CFCA 	𬿊
U+2CFCB 	𬿋
U+2CFCC 	𬿌
U+2CFCD 	𬿍
U+2CFCE 	𬿎
U+2CFCF 	𬿏
U+2CFD0 	𬿐
U+2CFD1 	𬿑
U+2CFD2 	𬿒
U+2CFD3 	𬿓
U+2CFD4 	𬿔
U+2CFD5 	𬿕
U+2CFD6 	𬿖
U+2CFD7 	𬿗
U+2CFD8 	𬿘
U+2CFD9 	𬿙
U+2CFDA 	𬿚
U+2CFDB 	𬿛
U+2CFDC 	𬿜
U+2CFDD 	𬿝
U+2CFDE 	𬿞
U+2CFDF 	𬿟
U+2CFE0 	𬿠
U+2CFE1 	𬿡
U+2CFE2 	𬿢
U+2CFE3 	𬿣
U+2CFE4 	𬿤
U+2CFE5 	𬿥
U+2CFE6 	𬿦
U+2CFE7 	𬿧
U+2CFE8 	𬿨
U+2CFE9 	𬿩
U+2CFEA 	𬿪
U+2CFEB 	𬿫
U+2CFEC 	𬿬
U+2CFED 	𬿭
U+2CFEE 	𬿮
U+2CFEF 	𬿯
U+2CFF0 	𬿰
U+2CFF1 	𬿱
U+2CFF2 	𬿲
U+2CFF3 	𬿳
U+2CFF4 	𬿴
U+2CFF5 	𬿵
U+2CFF6 	𬿶
U+2CFF7 	𬿷
U+2CFF8 	𬿸
U+2CFF9 	𬿹
U+2CFFA 	𬿺
U+2CFFB 	𬿻
U+2CFFC 	𬿼
U+2CFFD 	𬿽
U+2CFFE 	𬿾
U+2CFFF 	𬿿
U+2D000 	𭀀
U+2D001 	𭀁
U+2D002 	𭀂
U+2D003 	𭀃
U+2D004 	𭀄
U+2D005 	𭀅
U+2D006 	𭀆
U+2D007 	𭀇
U+2D008 	𭀈
U+2D009 	𭀉
U+2D00A 	𭀊
U+2D00B 	𭀋
U+2D00C 	𭀌
U+2D00D 	𭀍
U+2D00E 	𭀎
U+2D00F 	𭀏
U+2D010 	𭀐
U+2D011 	𭀑
U+2D012 	𭀒
U+2D013 	𭀓
U+2D014 	𭀔
U+2D015 	𭀕
U+2D016 	𭀖
U+2D017 	𭀗
U+2D018 	𭀘
U+2D019 	𭀙
U+2D01A 	𭀚
U+2D01B 	𭀛
U+2D01C 	𭀜
U+2D01D 	𭀝
U+2D01E 	𭀞
U+2D01F 	𭀟
U+2D020 	𭀠
U+2D021 	𭀡
U+2D022 	𭀢
U+2D023 	𭀣
U+2D024 	𭀤
U+2D025 	𭀥
U+2D026 	𭀦
U+2D027 	𭀧
U+2D028 	𭀨
U+2D029 	𭀩
U+2D02A 	𭀪
U+2D02B 	𭀫
U+2D02C 	𭀬
U+2D02D 	𭀭
U+2D02E 	𭀮
U+2D02F 	𭀯
U+2D030 	𭀰
U+2D031 	𭀱
U+2D032 	𭀲
U+2D033 	𭀳
U+2D034 	𭀴
U+2D035 	𭀵
U+2D036 	𭀶
U+2D037 	𭀷
U+2D038 	𭀸
U+2D039 	𭀹
U+2D03A 	𭀺
U+2D03B 	𭀻
U+2D03C 	𭀼
U+2D03D 	𭀽
U+2D03E 	𭀾
U+2D03F 	𭀿
U+2D040 	𭁀
U+2D041 	𭁁
U+2D042 	𭁂
U+2D043 	𭁃
U+2D044 	𭁄
U+2D045 	𭁅
U+2D046 	𭁆
U+2D047 	𭁇
U+2D048 	𭁈
U+2D049 	𭁉
U+2D04A 	𭁊
U+2D04B 	𭁋
U+2D04C 	𭁌
U+2D04D 	𭁍
U+2D04E 	𭁎
U+2D04F 	𭁏
U+2D050 	𭁐
U+2D051 	𭁑
U+2D052 	𭁒
U+2D053 	𭁓
U+2D054 	𭁔
U+2D055 	𭁕
U+2D056 	𭁖
U+2D057 	𭁗
U+2D058 	𭁘
U+2D059 	𭁙
U+2D05A 	𭁚
U+2D05B 	𭁛
U+2D05C 	𭁜
U+2D05D 	𭁝
U+2D05E 	𭁞
U+2D05F 	𭁟
U+2D060 	𭁠
U+2D061 	𭁡
U+2D062 	𭁢
U+2D063 	𭁣
U+2D064 	𭁤
U+2D065 	𭁥
U+2D066 	𭁦
U+2D067 	𭁧
U+2D068 	𭁨
U+2D069 	𭁩
U+2D06A 	𭁪
U+2D06B 	𭁫
U+2D06C 	𭁬
U+2D06D 	𭁭
U+2D06E 	𭁮
U+2D06F 	𭁯
U+2D070 	𭁰
U+2D071 	𭁱
U+2D072 	𭁲
U+2D073 	𭁳
U+2D074 	𭁴
U+2D075 	𭁵
U+2D076 	𭁶
U+2D077 	𭁷
U+2D078 	𭁸
U+2D079 	𭁹
U+2D07A 	𭁺
U+2D07B 	𭁻
U+2D07C 	𭁼
U+2D07D 	𭁽
